id,Año,Trimestre,Provincia,Accesos por cada 100 hogares,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total_velocidad_bajada,Banda ancha fija,Dial up,Total_Bandaancha_bandaangosta
20203CapitalFederal,2020,3,Capital Federal,107.68,2640,3120,162222,85083,68753,78028,977766,2470.0,1372675,1371285,1390.0,1372675
20203Catamarca,2020,3,Catamarca,47.16,630,0,8276,8768,11195,5620,18886,2154.0,49904,49903,1.0,49904
20203Chaco,2020,3,Chaco,41.54,3080,1120,24675,21639,27546,13751,38729,7194.0,133954,133951,3.0,133954
20203Chubut,2020,3,Chubut,68.34,1580,1090,87559,22114,12217,2818,1110,3942.0,130027,129202,825.0,130027
20203Córdoba,2020,3,Córdoba,75.22,1680,3064,218599,124833,84236,63823,361021,11728.0,867472,867417,55.0,867472
20203Corrientes,2020,3,Corrientes,41.75,720,5270,35190,23315,25308,8615,25344,502.0,123391,123388,3.0,123391
20203EntreRíos,2020,3,Entre Ríos,58.19,1300,2911,66648,51478,40797,14377,49395,15759.0,241495,241482,13.0,241495
20203Formosa,2020,3,Formosa,31.91,3910,1510,23163,7432,7125,9910,8219,1737.0,49209,49209,0.0,49209
20203Jujuy,2020,3,Jujuy,54.04,550,1820,32131,10566,45198,2930,15238,3065.0,106728,106728,0.0,106728
20203LaPampa,2020,3,La Pampa,79.26,2930,8100,66695,782,5577,2189,6322,4029.0,93735,93619,116.0,93735
20203LaRioja,2020,3,La Rioja,50.12,210,10,37105,5955,466,1240,4748,20.0,52616,52613,3.0,52616
20203Mendoza,2020,3,Mendoza,37.35,580,400,141404,12123,42433,3448,8237,450.0,207788,207173,615.0,207788
20203Misiones,2020,3,Misiones,41.6,710,5240,39005,24215,25942,13663,30987,8779.0,143186,143186,0.0,143186
20203Neuquén,2020,3,Neuquén,65.24,2180,3270,60463,6561,5975,5449,49439,8030.0,129235,128862,373.0,129235
20203RíoNegro,2020,3,Río Negro,57.05,1140,4660,68986,3769,7096,3455,28488,19093.0,131467,130966,501.0,131467
20203Salta,2020,3,Salta,52.32,1290,5140,32780,64736,1599,7928,43773,14996.0,180846,180844,2.0,180846
20203SanJuan,2020,3,San Juan,38.79,480,1940,65526,7110,6529,410,128,415.0,77327,77071,256.0,77327
